"Campaign Name","Ad Set Name","Ad Name","Time of Day (Viewer's Time Zone)",Day,Reach,Impressions,Frequency,"Result Type",Results,"Amount Spent (INR)","Cost per Result",Starts,Ends,"Result Rate","Clicks (All)","CTR (All)","CPM (Cost per 1,000 Impressions)","Reporting Starts","Reporting Ends"
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","22:00:00 - 22:59:59",2020-09-16,401,406,1.0124688279302,,,58.541272783934,,2020-09-13,Ongoing,,6,1.47783251,144.19032705,2020-09-16,2020-09-16
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","08:00:00 - 08:59:59",2020-09-16,433,433,1,"On-Facebook Leads",1,53.591165160421,53.591165160421,2020-09-13,Ongoing,0.23094688221709,18,4.15704388,123.76712508,2020-09-16,2020-09-16
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","06:00:00 - 06:59:59",2020-09-16,433,437,1.0092378752887,,,58.291267348403,,2020-09-13,Ongoing,,15,3.43249428,133.3896278,2020-09-16,2020-09-16
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","18:00:00 - 18:59:59",2020-09-16,457,487,1.0656455142232,"On-Facebook Leads",2,58.871279958835,29.435639979417,2020-09-13,Ongoing,0.41067761806982,22,4.5174538,120.88558513,2020-09-16,2020-09-16
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","15:00:00 - 15:59:59",2020-09-16,486,492,1.0123456790123,,,56.211222124785,,2020-09-13,Ongoing,,6,1.2195122,114.25045147,2020-09-16,2020-09-16
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","17:00:00 - 17:59:59",2020-09-16,493,493,1,,,62.22135279495,,2020-09-13,Ongoing,,9,1.82555781,126.20964056,2020-09-16,2020-09-16
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","14:00:00 - 14:59:59",2020-09-16,543,544,1.0018416206262,,,65.211417803901,,2020-09-13,Ongoing,,9,1.65441176,119.87392979,2020-09-16,2020-09-16
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","22:00:00 - 22:59:59",2020-09-15,1189,1195,1.0050462573591,"On-Facebook Leads",1,170.99,170.99,2020-09-13,Ongoing,0.083682008368201,27,2.25941423,143.08786611,2020-09-15,2020-09-15
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","10:00:00 - 10:59:59",2020-09-15,870,875,1.0057471264368,,,103.48,,2020-09-13,Ongoing,,13,1.48571429,118.26285714,2020-09-15,2020-09-15
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","11:00:00 - 11:59:59",2020-09-15,620,623,1.0048387096774,"On-Facebook Leads",2,81.24,40.62,2020-09-13,Ongoing,0.32102728731942,16,2.5682183,130.40128411,2020-09-15,2020-09-15
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","12:00:00 - 12:59:59",2020-09-15,569,578,1.0158172231986,,,83.84,,2020-09-13,Ongoing,,12,2.07612457,145.05190311,2020-09-15,2020-09-15
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","08:00:00 - 08:59:59",2020-09-15,539,547,1.0148423005566,"On-Facebook Leads",1,74.47,74.47,2020-09-13,Ongoing,0.18281535648995,18,3.29067642,136.14259598,2020-09-15,2020-09-15
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","21:00:00 - 21:59:59",2020-09-15,499,513,1.0280561122244,"On-Facebook Leads",1,73.74,73.74,2020-09-13,Ongoing,0.19493177387914,12,2.33918129,143.74269006,2020-09-15,2020-09-15
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","06:00:00 - 06:59:59",2020-09-15,508,508,1,,,72.75,,2020-09-13,Ongoing,,7,1.37795276,143.20866142,2020-09-15,2020-09-15
